#,Species,Plot #,Substrate,Date (mmmdd) ,substrate (um),Activity (umol g-1 hr-1),activity/[S]
1042,TSCA,4,CBH,31-May,30,0.016208,0.0005
1402,TSCA,4,CBH,31-May,60,0.039065,0.0007
1762,TSCA,4,CBH,31-May,85,0.033371,0.0004
2122,TSCA,4,CBH,31-May,150,0.0080462,0.0001
2482,TSCA,4,CBH,31-May,250,0.043713,0.0002
2842,TSCA,4,CBH,31-May,375,0.014895,0
3202,TSCA,4,CBH,31-May,500,0.027804,0.0001
323,TSCA,5,CBH,31-May,3,0.047494,0.0158
683,TSCA,5,CBH,31-May,15,0.077041,0.0051
1043,TSCA,5,CBH,31-May,30,0.10005,0.0033
1403,TSCA,5,CBH,31-May,60,0.1371,0.0023
1763,TSCA,5,CBH,31-May,85,0.14405,0.0017
2123,TSCA,5,CBH,31-May,150,0.12789,0.0009
2483,TSCA,5,CBH,31-May,250,0.1007,0.0004
2843,TSCA,5,CBH,31-May,375,0.095411,0.0003
3203,TSCA,5,CBH,31-May,500,0.072832,0.0001
324,TSCA,6,CBH,31-May,3,0.0022736,0.0008
684,TSCA,6,CBH,31-May,15,0.04236,0.0028
1044,TSCA,6,CBH,31-May,30,0.071256,0.0024
1404,TSCA,6,CBH,31-May,60,0.077827,0.0013
1764,TSCA,6,CBH,31-May,85,0.12869,0.0015
2124,TSCA,6,CBH,31-May,150,0.065328,0.0004
2484,TSCA,6,CBH,31-May,250,0.15787,0.0006
2844,TSCA,6,CBH,31-May,375,0.090146,0.0002
3204,TSCA,6,CBH,31-May,500,0.073359,0.0001
325,FRAM,1,CBH,12-Aug,3,0.024876,0.0083
685,FRAM,1,CBH,12-Aug,15,0.023329,0.0016
1045,FRAM,1,CBH,12-Aug,30,0.033069,0.0011
1405,FRAM,1,CBH,12-Aug,60,0.056301,0.0009
1765,FRAM,1,CBH,12-Aug,85,0.046379,0.0005
2125,FRAM,1,CBH,12-Aug,150,0.042216,0.0003
2485,FRAM,1,CBH,12-Aug,250,0.045472,0.0002
2845,FRAM,1,CBH,12-Aug,375,0.051956,0.0001
3205,FRAM,1,CBH,12-Aug,500,0.046045,0.0001
326,FRAM,2,CBH,12-Aug,3,0.024867,0.0083
686,FRAM,2,CBH,12-Aug,15,0.034446,0.0023
1046,FRAM,2,CBH,12-Aug,30,0.039562,0.0013
1406,FRAM,2,CBH,12-Aug,60,0.072466,0.0012
1766,FRAM,2,CBH,12-Aug,85,0.066445,0.0008
2126,FRAM,2,CBH,12-Aug,150,0.071748,0.0005
2486,FRAM,2,CBH,12-Aug,250,0.06139,0.0002
2846,FRAM,2,CBH,12-Aug,375,0.10317,0.0003
3206,FRAM,2,CBH,12-Aug,500,0.049235,0.0001
327,FRAM,3,CBH,12-Aug,3,0.037826,0.0126
687,FRAM,3,CBH,12-Aug,15,0.062068,0.0041
1047,FRAM,3,CBH,12-Aug,30,0.056514,0.0019
1407,FRAM,3,CBH,12-Aug,60,0.092262,0.0015
1767,FRAM,3,CBH,12-Aug,85,0.087837,0.001
2127,FRAM,3,CBH,12-Aug,150,0.096292,0.0006
2487,FRAM,3,CBH,12-Aug,250,0.081381,0.0003
2847,FRAM,3,CBH,12-Aug,375,0.082826,0.0002
3207,FRAM,3,CBH,12-Aug,500,0.076682,0.0002
328,FRAM,4,CBH,12-Aug,3,0.022265,0.0074
688,FRAM,4,CBH,12-Aug,15,0.041438,0.0028
1048,FRAM,4,CBH,12-Aug,30,0.052448,0.0017
1408,FRAM,4,CBH,12-Aug,60,0.049054,0.0008
1768,FRAM,4,CBH,12-Aug,85,0.068613,0.0008
2128,FRAM,4,CBH,12-Aug,150,0.076714,0.0005
2488,FRAM,4,CBH,12-Aug,250,0.099116,0.0004
2848,FRAM,4,CBH,12-Aug,375,0.072893,0.0002
3208,FRAM,4,CBH,12-Aug,500,0.089013,0.0002
329,FRAM,5,CBH,12-Aug,3,6.94E-05,0
689,FRAM,5,CBH,12-Aug,15,0.020965,0.0014
1049,FRAM,5,CBH,12-Aug,30,0.035879,0.0012
1409,FRAM,5,CBH,12-Aug,60,0.029809,0.0005
1769,FRAM,5,CBH,12-Aug,85,0.058471,0.0007
2129,FRAM,5,CBH,12-Aug,150,0.054653,0.0004
2489,FRAM,5,CBH,12-Aug,250,0.051817,0.0002
2849,FRAM,5,CBH,12-Aug,375,0.056682,0.0002
3209,FRAM,5,CBH,12-Aug,500,0.069463,0.0001
330,FRAM,6,CBH,12-Aug,3,0.020826,0.0069
690,FRAM,6,CBH,12-Aug,15,0.037999,0.0025
1050,FRAM,6,CBH,12-Aug,30,0.04479,0.0015
1410,FRAM,6,CBH,12-Aug,60,0.062669,0.001
1770,FRAM,6,CBH,12-Aug,85,0.087641,0.001
2130,FRAM,6,CBH,12-Aug,150,0.061423,0.0004
2490,FRAM,6,CBH,12-Aug,250,0.066947,0.0003
2850,FRAM,6,CBH,12-Aug,375,0.045066,0.0001
3210,FRAM,6,CBH,12-Aug,500,0.045732,0.0001
331,QURU,1,CBH,12-Aug,3,0.0024916,0.0008
691,QURU,1,CBH,12-Aug,15,0.014345,0.001
1051,QURU,1,CBH,12-Aug,30,0.0079788,0.0003
1411,QURU,1,CBH,12-Aug,60,0.0031412,0.0001
1771,QURU,1,CBH,12-Aug,85,0.020467,0.0002
2131,QURU,1,CBH,12-Aug,150,0.010638,0.0001
2491,QURU,1,CBH,12-Aug,250,0.010217,0
2851,QURU,1,CBH,12-Aug,375,NaN,#VALUE!
3211,QURU,1,CBH,12-Aug,500,NaN,#VALUE!
332,QURU,2,CBH,12-Aug,3,0.0056805,0.0019
692,QURU,2,CBH,12-Aug,15,0.028412,0.0019
1052,QURU,2,CBH,12-Aug,30,0.043255,0.0014
1412,QURU,2,CBH,12-Aug,60,0.050568,0.0008
1772,QURU,2,CBH,12-Aug,85,0.064563,0.0008
2132,QURU,2,CBH,12-Aug,150,0.05983,0.0004
2492,QURU,2,CBH,12-Aug,250,0.068613,0.0003
2852,QURU,2,CBH,12-Aug,375,0.066541,0.0002
3212,QURU,2,CBH,12-Aug,500,0.028896,0.0001
333,QURU,3,CBH,12-Aug,3,0.0017622,0.0006
693,QURU,3,CBH,12-Aug,15,0.02242,0.0015
1053,QURU,3,CBH,12-Aug,30,0.012304,0.0004
1413,QURU,3,CBH,12-Aug,60,0.016578,0.0003
1773,QURU,3,CBH,12-Aug,85,0.011418,0.0001
2133,QURU,3,CBH,12-Aug,150,0.018675,0.0001
2493,QURU,3,CBH,12-Aug,250,0.020808,0.0001
2853,QURU,3,CBH,12-Aug,375,0.027694,0.0001
3213,QURU,3,CBH,12-Aug,500,0.024921,0
334,QURU,4,CBH,12-Aug,3,-0.00081565,-0.0003
694,QURU,4,CBH,12-Aug,15,0.035688,0.0024
1054,QURU,4,CBH,12-Aug,30,0.031167,0.001
1414,QURU,4,CBH,12-Aug,60,0.041706,0.0007
1774,QURU,4,CBH,12-Aug,85,0.035713,0.0004
2134,QURU,4,CBH,12-Aug,150,0.035269,0.0002
2494,QURU,4,CBH,12-Aug,250,0.0466,0.0002
2854,QURU,4,CBH,12-Aug,375,0.045143,0.0001
3214,QURU,4,CBH,12-Aug,500,0.057181,0.0001
335,QURU,5,CBH,12-Aug,3,-0.0064768,-0.0022
695,QURU,5,CBH,12-Aug,15,0.0010135,0.0001
1055,QURU,5,CBH,12-Aug,30,NaN,#VALUE!
1415,QURU,5,CBH,12-Aug,60,0.0094317,0.0002
1775,QURU,5,CBH,12-Aug,85,0.0084482,0.0001
2135,QURU,5,CBH,12-Aug,150,0.011025,0.0001
2495,QURU,5,CBH,12-Aug,250,0.013794,0.0001
2855,QURU,5,CBH,12-Aug,375,NaN,#VALUE!
3215,QURU,5,CBH,12-Aug,500,NaN,#VALUE!
336,QURU,6,CBH,12-Aug,3,0.0020952,0.0007
696,QURU,6,CBH,12-Aug,15,0.0094032,0.0006
1056,QURU,6,CBH,12-Aug,30,NaN,#VALUE!
1416,QURU,6,CBH,12-Aug,60,0.012556,0.0002
1776,QURU,6,CBH,12-Aug,85,0.017179,0.0002
2136,QURU,6,CBH,12-Aug,150,0.017487,0.0001
2496,QURU,6,CBH,12-Aug,250,0.0092531,0
2856,QURU,6,CBH,12-Aug,375,0.015808,0
3216,QURU,6,CBH,12-Aug,500,NaN,#VALUE!
337,TSCA,1,CBH,12-Aug,3,0.022793,0.0076
697,TSCA,1,CBH,12-Aug,15,0.054183,0.0036
1057,TSCA,1,CBH,12-Aug,30,0.067557,0.0023
1417,TSCA,1,CBH,12-Aug,60,0.094233,0.0016
1777,TSCA,1,CBH,12-Aug,85,0.098997,0.0012
2137,TSCA,1,CBH,12-Aug,150,0.063516,0.0004
2497,TSCA,1,CBH,12-Aug,250,0.064027,0.0003
2857,TSCA,1,CBH,12-Aug,375,0.064521,0.0002
3217,TSCA,1,CBH,12-Aug,500,0.049893,0.0001
338,TSCA,2,CBH,12-Aug,3,0.0056056,0.0019
698,TSCA,2,CBH,12-Aug,15,0.023251,0.0016
1058,TSCA,2,CBH,12-Aug,30,0.0071109,0.0002
1418,TSCA,2,CBH,12-Aug,60,0.020867,0.0003
1778,TSCA,2,CBH,12-Aug,85,0.03777,0.0004
2138,TSCA,2,CBH,12-Aug,150,0.012364,0.0001
2498,TSCA,2,CBH,12-Aug,250,0.017522,0.0001
2858,TSCA,2,CBH,12-Aug,375,0.016524,0
3218,TSCA,2,CBH,12-Aug,500,0.019141,0
339,TSCA,3,CBH,12-Aug,3,0.058308,0.0194
699,TSCA,3,CBH,12-Aug,15,0.03036,0.002
1059,TSCA,3,CBH,12-Aug,30,0.059851,0.002
1419,TSCA,3,CBH,12-Aug,60,0.071947,0.0012
1779,TSCA,3,CBH,12-Aug,85,0.049094,0.0006
2139,TSCA,3,CBH,12-Aug,150,0.11426,0.0008
2499,TSCA,3,CBH,12-Aug,250,0.06043,0.0002
2859,TSCA,3,CBH,12-Aug,375,0.075548,0.0002
3219,TSCA,3,CBH,12-Aug,500,0.054881,0.0001
340,TSCA,4,CBH,12-Aug,3,-0.0017716,-0.0006
700,TSCA,4,CBH,12-Aug,15,-0.0079595,-0.0005
1060,TSCA,4,CBH,12-Aug,30,-0.00062339,0
1420,TSCA,4,CBH,12-Aug,60,-0.0029105,0
1780,TSCA,4,CBH,12-Aug,85,0.0046643,0.0001
2140,TSCA,4,CBH,12-Aug,150,0.024106,0.0002
2500,TSCA,4,CBH,12-Aug,250,0.019043,0.0001
2860,TSCA,4,CBH,12-Aug,375,0.0081338,0
3220,TSCA,4,CBH,12-Aug,500,-0.00072487,0
341,TSCA,5,CBH,12-Aug,3,0.027178,0.0091
701,TSCA,5,CBH,12-Aug,15,0.042611,0.0028
1061,TSCA,5,CBH,12-Aug,30,0.076407,0.0025
1421,TSCA,5,CBH,12-Aug,60,0.063672,0.0011
1781,TSCA,5,CBH,12-Aug,85,0.075918,0.0009
2141,TSCA,5,CBH,12-Aug,150,0.06666,0.0004
2501,TSCA,5,CBH,12-Aug,250,0.090453,0.0004
2861,TSCA,5,CBH,12-Aug,375,0.0923,0.0002
3221,TSCA,5,CBH,12-Aug,500,0.10602,0.0002
342,TSCA,6,CBH,12-Aug,3,0.039166,0.0131
702,TSCA,6,CBH,12-Aug,15,0.048424,0.0032
1062,TSCA,6,CBH,12-Aug,30,0.073329,0.0024
1422,TSCA,6,CBH,12-Aug,60,0.049029,0.0008
1782,TSCA,6,CBH,12-Aug,85,0.060455,0.0007
2142,TSCA,6,CBH,12-Aug,150,0.09346,0.0006
2502,TSCA,6,CBH,12-Aug,250,0.057258,0.0002
2862,TSCA,6,CBH,12-Aug,375,0.10737,0.0003
3222,TSCA,6,CBH,12-Aug,500,0.078989,0.0002
349,QURU,1,CBH,19-Oct,3,0.036302,0.0121
709,QURU,1,CBH,19-Oct,15,0.037195,0.0025
1069,QURU,1,CBH,19-Oct,30,0.12463,0.0042
1429,QURU,1,CBH,19-Oct,60,0.135,0.0023
1789,QURU,1,CBH,19-Oct,85,0.13299,0.0016
2149,QURU,1,CBH,19-Oct,150,0.18562,0.0012
2509,QURU,1,CBH,19-Oct,250,0.20694,0.0008
2869,QURU,1,CBH,19-Oct,375,0.14087,0.0004
3229,QURU,1,CBH,19-Oct,500,0.1428,0.0003
350,QURU,2,CBH,19-Oct,3,0.042903,0.0143
710,QURU,2,CBH,19-Oct,15,0.062753,0.0042
1070,QURU,2,CBH,19-Oct,30,0.099043,0.0033
1430,QURU,2,CBH,19-Oct,60,0.13861,0.0023
1790,QURU,2,CBH,19-Oct,85,0.14147,0.0017
2150,QURU,2,CBH,19-Oct,150,0.14315,0.001
2510,QURU,2,CBH,19-Oct,250,0.26428,0.0011
2870,QURU,2,CBH,19-Oct,375,0.24894,0.0007
3230,QURU,2,CBH,19-Oct,500,0.2262,0.0005
351,QURU,3,CBH,19-Oct,3,0.0011318,0.0004
711,QURU,3,CBH,19-Oct,15,-0.0066867,-0.0004
1071,QURU,3,CBH,19-Oct,30,0.029398,0.001
1431,QURU,3,CBH,19-Oct,60,0.025401,0.0004
1791,QURU,3,CBH,19-Oct,85,0.062617,0.0007
2151,QURU,3,CBH,19-Oct,150,0.015805,0.0001
2511,QURU,3,CBH,19-Oct,250,0.058441,0.0002
2871,QURU,3,CBH,19-Oct,375,0.034235,0.0001
3231,QURU,3,CBH,19-Oct,500,0.029331,0.0001
