#,Species,Plot #,Substrate,Date (mmmdd) ,substrate (um),Activity (umol g-1 hr-1),activity/[S]
485,TSCA,5,NAG,11-Apr,20,0.065034,0.0033
845,TSCA,5,NAG,11-Apr,40,0.074031,0.0019
1205,TSCA,5,NAG,11-Apr,80,0.10944,0.0014
1565,TSCA,5,NAG,11-Apr,140,0.16728,0.0012
1925,TSCA,5,NAG,11-Apr,200,0.23796,0.0012
2285,TSCA,5,NAG,11-Apr,400,0.24063,0.0006
2645,TSCA,5,NAG,11-Apr,600,0.18805,0.0003
3005,TSCA,5,NAG,11-Apr,800,0.29518,0.0004
126,TSCA,6,NAG,11-Apr,5,0.0099072,0.002
486,TSCA,6,NAG,11-Apr,20,0.045829,0.0023
846,TSCA,6,NAG,11-Apr,40,0.043139,0.0011
1206,TSCA,6,NAG,11-Apr,80,0.11648,0.0015
1566,TSCA,6,NAG,11-Apr,140,0.22851,0.0016
1926,TSCA,6,NAG,11-Apr,200,0.21564,0.0011
2286,TSCA,6,NAG,11-Apr,400,0.28207,0.0007
2646,TSCA,6,NAG,11-Apr,600,0.17684,0.0003
3006,TSCA,6,NAG,11-Apr,800,0.19607,0.0002
127,FRAM,1,NAG,31-May,5,0.022473,0.0045
487,FRAM,1,NAG,31-May,20,0.041147,0.0021
847,FRAM,1,NAG,31-May,40,0.056758,0.0014
1207,FRAM,1,NAG,31-May,80,0.11439,0.0014
1567,FRAM,1,NAG,31-May,140,0.17453,0.0012
1927,FRAM,1,NAG,31-May,200,0.26098,0.0013
2287,FRAM,1,NAG,31-May,400,0.26031,0.0007
2647,FRAM,1,NAG,31-May,600,0.28998,0.0005
3007,FRAM,1,NAG,31-May,800,0.26778,0.0003
128,FRAM,2,NAG,31-May,5,0.0025629,0.0005
488,FRAM,2,NAG,31-May,20,0.012561,0.0006
848,FRAM,2,NAG,31-May,40,0.037613,0.0009
1208,FRAM,2,NAG,31-May,80,0.10529,0.0013
1568,FRAM,2,NAG,31-May,140,0.17452,0.0012
1928,FRAM,2,NAG,31-May,200,0.24359,0.0012
2288,FRAM,2,NAG,31-May,400,0.23859,0.0006
2648,FRAM,2,NAG,31-May,600,0.28025,0.0005
3008,FRAM,2,NAG,31-May,800,0.34689,0.0004
129,FRAM,3,NAG,31-May,5,0.019634,0.0039
489,FRAM,3,NAG,31-May,20,-0.008097,-0.0004
849,FRAM,3,NAG,31-May,40,0.088205,0.0022
1209,FRAM,3,NAG,31-May,80,0.077956,0.001
1569,FRAM,3,NAG,31-May,140,0.16389,0.0012
1929,FRAM,3,NAG,31-May,200,0.19427,0.001
2289,FRAM,3,NAG,31-May,400,0.14648,0.0004
2649,FRAM,3,NAG,31-May,600,0.2674,0.0004
3009,FRAM,3,NAG,31-May,800,0.28679,0.0004
130,FRAM,4,NAG,31-May,5,0.024464,0.0049
490,FRAM,4,NAG,31-May,20,-0.02105,-0.0011
850,FRAM,4,NAG,31-May,40,0.13161,0.0033
1210,FRAM,4,NAG,31-May,80,0.10545,0.0013
1570,FRAM,4,NAG,31-May,140,0.1934,0.0014
1930,FRAM,4,NAG,31-May,200,0.26435,0.0013
2290,FRAM,4,NAG,31-May,400,0.20343,0.0005
2650,FRAM,4,NAG,31-May,600,0.36675,0.0006
3010,FRAM,4,NAG,31-May,800,0.4863,0.0006
131,FRAM,5,NAG,31-May,5,0.02676,0.0054
491,FRAM,5,NAG,31-May,20,0.040188,0.002
851,FRAM,5,NAG,31-May,40,0.061567,0.0015
1211,FRAM,5,NAG,31-May,80,0.08795,0.0011
1571,FRAM,5,NAG,31-May,140,0.15707,0.0011
1931,FRAM,5,NAG,31-May,200,0.23968,0.0012
2291,FRAM,5,NAG,31-May,400,0.22779,0.0006
2651,FRAM,5,NAG,31-May,600,0.27365,0.0005
3011,FRAM,5,NAG,31-May,800,0.24233,0.0003
132,FRAM,6,NAG,31-May,5,0.017834,0.0036
492,FRAM,6,NAG,31-May,20,0.041993,0.0021
852,FRAM,6,NAG,31-May,40,0.047907,0.0012
1212,FRAM,6,NAG,31-May,80,0.092035,0.0012
1572,FRAM,6,NAG,31-May,140,0.22008,0.0016
1932,FRAM,6,NAG,31-May,200,0.36764,0.0018
2292,FRAM,6,NAG,31-May,400,0.35319,0.0009
2652,FRAM,6,NAG,31-May,600,0.51858,0.0009
3012,FRAM,6,NAG,31-May,800,0.39773,0.0005
133,QURU,1,NAG,31-May,5,-0.0021324,-0.0004
493,QURU,1,NAG,31-May,20,-0.0055175,-0.0003
853,QURU,1,NAG,31-May,40,0.027976,0.0007
1213,QURU,1,NAG,31-May,80,0.064404,0.0008
1573,QURU,1,NAG,31-May,140,0.029419,0.0002
1933,QURU,1,NAG,31-May,200,0.064979,0.0003
2293,QURU,1,NAG,31-May,400,0.040757,0.0001
2653,QURU,1,NAG,31-May,600,0.17384,0.0003
3013,QURU,1,NAG,31-May,800,0.25484,0.0003
134,QURU,2,NAG,31-May,5,0.0017144,0.0003
494,QURU,2,NAG,31-May,20,0.030704,0.0015
854,QURU,2,NAG,31-May,40,0.055773,0.0014
1214,QURU,2,NAG,31-May,80,0.084524,0.0011
1574,QURU,2,NAG,31-May,140,0.08909,0.0006
1934,QURU,2,NAG,31-May,200,0.11055,0.0006
2294,QURU,2,NAG,31-May,400,0.16764,0.0004
2654,QURU,2,NAG,31-May,600,0.15788,0.0003
3014,QURU,2,NAG,31-May,800,0.12262,0.0002
135,QURU,3,NAG,31-May,5,0.031241,0.0062
495,QURU,3,NAG,31-May,20,0.037097,0.0019
855,QURU,3,NAG,31-May,40,0.064801,0.0016
1215,QURU,3,NAG,31-May,80,0.096572,0.0012
1575,QURU,3,NAG,31-May,140,0.095044,0.0007
1935,QURU,3,NAG,31-May,200,0.11398,0.0006
2295,QURU,3,NAG,31-May,400,0.14786,0.0004
2655,QURU,3,NAG,31-May,600,0.15614,0.0003
3015,QURU,3,NAG,31-May,800,0.12748,0.0002
136,QURU,4,NAG,31-May,5,0.010733,0.0021
496,QURU,4,NAG,31-May,20,0.01469,0.0007
856,QURU,4,NAG,31-May,40,0.037039,0.0009
1216,QURU,4,NAG,31-May,80,0.080627,0.001
1576,QURU,4,NAG,31-May,140,0.093736,0.0007
1936,QURU,4,NAG,31-May,200,0.10839,0.0005
2296,QURU,4,NAG,31-May,400,0.18059,0.0005
2656,QURU,4,NAG,31-May,600,0.17685,0.0003
3016,QURU,4,NAG,31-May,800,0.13606,0.0002
137,QURU,5,NAG,31-May,5,0.021156,0.0042
497,QURU,5,NAG,31-May,20,0.012983,0.0006
857,QURU,5,NAG,31-May,40,0.040366,0.001
1217,QURU,5,NAG,31-May,80,0.12076,0.0015
1577,QURU,5,NAG,31-May,140,0.044544,0.0003
1937,QURU,5,NAG,31-May,200,0.062701,0.0003
2297,QURU,5,NAG,31-May,400,0.11269,0.0003
2657,QURU,5,NAG,31-May,600,0.034997,0.0001
3017,QURU,5,NAG,31-May,800,0.055656,0.0001
138,QURU,6,NAG,31-May,5,0.010876,0.0022
498,QURU,6,NAG,31-May,20,0.024303,0.0012
858,QURU,6,NAG,31-May,40,0.02734,0.0007
1218,QURU,6,NAG,31-May,80,0.0246,0.0003
1578,QURU,6,NAG,31-May,140,0.038418,0.0003
1938,QURU,6,NAG,31-May,200,0.03592,0.0002
2298,QURU,6,NAG,31-May,400,0.031231,0.0001
2658,QURU,6,NAG,31-May,600,0.046887,0.0001
3018,QURU,6,NAG,31-May,800,0.06773,0.0001
139,TSCA,1,NAG,31-May,5,0.0072999,0.0015
499,TSCA,1,NAG,31-May,20,0.058035,0.0029
859,TSCA,1,NAG,31-May,40,0.054275,0.0014
1219,TSCA,1,NAG,31-May,80,0.070791,0.0009
1579,TSCA,1,NAG,31-May,140,0.095643,0.0007
1939,TSCA,1,NAG,31-May,200,0.084098,0.0004
2299,TSCA,1,NAG,31-May,400,0.2023,0.0005
2659,TSCA,1,NAG,31-May,600,0.15319,0.0003
3019,TSCA,1,NAG,31-May,800,0.090861,0.0001
140,TSCA,2,NAG,31-May,5,0.026356,0.0053
500,TSCA,2,NAG,31-May,20,0.1059,0.0053
860,TSCA,2,NAG,31-May,40,0.1714,0.0043
1220,TSCA,2,NAG,31-May,80,0.30377,0.0038
1580,TSCA,2,NAG,31-May,140,0.41683,0.003
1940,TSCA,2,NAG,31-May,200,0.57715,0.0029
2300,TSCA,2,NAG,31-May,400,0.62451,0.0016
2660,TSCA,2,NAG,31-May,600,0.72641,0.0012
3020,TSCA,2,NAG,31-May,800,0.48931,0.0006
141,TSCA,3,NAG,31-May,5,0.023205,0.0046
501,TSCA,3,NAG,31-May,20,0.061972,0.0031
861,TSCA,3,NAG,31-May,40,0.074249,0.0019
1221,TSCA,3,NAG,31-May,80,0.13351,0.0017
1581,TSCA,3,NAG,31-May,140,0.14296,0.001
1941,TSCA,3,NAG,31-May,200,0.25835,0.0013
2301,TSCA,3,NAG,31-May,400,0.26247,0.0007
2661,TSCA,3,NAG,31-May,600,0.29661,0.0005
3021,TSCA,3,NAG,31-May,800,0.21106,0.0003
142,TSCA,4,NAG,31-May,5,0.018896,0.0038
502,TSCA,4,NAG,31-May,20,0.078497,0.0039
862,TSCA,4,NAG,31-May,40,0.099489,0.0025
1222,TSCA,4,NAG,31-May,80,0.14173,0.0018
1582,TSCA,4,NAG,31-May,140,0.23668,0.0017
1942,TSCA,4,NAG,31-May,200,0.26438,0.0013
2302,TSCA,4,NAG,31-May,400,0.23616,0.0006
2662,TSCA,4,NAG,31-May,600,0.24316,0.0004
3022,TSCA,4,NAG,31-May,800,0.16062,0.0002
143,TSCA,5,NAG,31-May,5,0.028849,0.0058
503,TSCA,5,NAG,31-May,20,0.048344,0.0024
863,TSCA,5,NAG,31-May,40,0.054996,0.0014
1223,TSCA,5,NAG,31-May,80,0.1386,0.0017
1583,TSCA,5,NAG,31-May,140,0.17655,0.0013
1943,TSCA,5,NAG,31-May,200,0.22852,0.0011
2303,TSCA,5,NAG,31-May,400,0.21801,0.0005
2663,TSCA,5,NAG,31-May,600,0.20865,0.0003
3023,TSCA,5,NAG,31-May,800,0.19415,0.0002
144,TSCA,6,NAG,31-May,5,0.028343,0.0057
504,TSCA,6,NAG,31-May,20,0.048734,0.0024
864,TSCA,6,NAG,31-May,40,0.077434,0.0019
1224,TSCA,6,NAG,31-May,80,0.14601,0.0018
1584,TSCA,6,NAG,31-May,140,0.16306,0.0012
1944,TSCA,6,NAG,31-May,200,0.21919,0.0011
2304,TSCA,6,NAG,31-May,400,0.26224,0.0007
2664,TSCA,6,NAG,31-May,600,0.26401,0.0004
3024,TSCA,6,NAG,31-May,800,0.22434,0.0003
145,FRAM,1,NAG,12-Aug,5,0.063222,0.0126
505,FRAM,1,NAG,12-Aug,20,0.057899,0.0029
865,FRAM,1,NAG,12-Aug,40,0.064549,0.0016
1225,FRAM,1,NAG,12-Aug,80,0.12272,0.0015
1585,FRAM,1,NAG,12-Aug,140,0.14609,0.001
1945,FRAM,1,NAG,12-Aug,200,0.15792,0.0008
2305,FRAM,1,NAG,12-Aug,400,0.19263,0.0005
2665,FRAM,1,NAG,12-Aug,600,0.15091,0.0003
3025,FRAM,1,NAG,12-Aug,800,0.14346,0.0002
146,FRAM,2,NAG,12-Aug,5,0.022804,0.0046
506,FRAM,2,NAG,12-Aug,20,0.045575,0.0023
866,FRAM,2,NAG,12-Aug,40,0.061483,0.0015
1226,FRAM,2,NAG,12-Aug,80,0.11954,0.0015
1586,FRAM,2,NAG,12-Aug,140,0.17638,0.0013
1946,FRAM,2,NAG,12-Aug,200,0.25316,0.0013
2306,FRAM,2,NAG,12-Aug,400,0.23492,0.0006
2666,FRAM,2,NAG,12-Aug,600,0.2926,0.0005
3026,FRAM,2,NAG,12-Aug,800,0.23584,0.0003
147,FRAM,3,NAG,12-Aug,5,0.039501,0.0079
507,FRAM,3,NAG,12-Aug,20,0.053283,0.0027
867,FRAM,3,NAG,12-Aug,40,0.066831,0.0017
1227,FRAM,3,NAG,12-Aug,80,0.15321,0.0019
1587,FRAM,3,NAG,12-Aug,140,0.21494,0.0015
1947,FRAM,3,NAG,12-Aug,200,0.20705,0.001
2307,FRAM,3,NAG,12-Aug,400,0.24845,0.0006
2667,FRAM,3,NAG,12-Aug,600,0.29401,0.0005
3027,FRAM,3,NAG,12-Aug,800,0.44063,0.0006
148,FRAM,4,NAG,12-Aug,5,0.028745,0.0057
508,FRAM,4,NAG,12-Aug,20,0.06084,0.003
868,FRAM,4,NAG,12-Aug,40,0.09383,0.0023
1228,FRAM,4,NAG,12-Aug,80,0.14321,0.0018
1588,FRAM,4,NAG,12-Aug,140,0.21627,0.0015
1948,FRAM,4,NAG,12-Aug,200,0.25858,0.0013
2308,FRAM,4,NAG,12-Aug,400,0.34711,0.0009
2668,FRAM,4,NAG,12-Aug,600,0.28134,0.0005
3028,FRAM,4,NAG,12-Aug,800,0.291,0.0004
149,FRAM,5,NAG,12-Aug,5,0.0062086,0.0012
509,FRAM,5,NAG,12-Aug,20,0.021249,0.0011
869,FRAM,5,NAG,12-Aug,40,0.039396,0.001
1229,FRAM,5,NAG,12-Aug,80,0.12739,0.0016
1589,FRAM,5,NAG,12-Aug,140,0.21622,0.0015
1949,FRAM,5,NAG,12-Aug,200,0.26484,0.0013
2309,FRAM,5,NAG,12-Aug,400,0.34564,0.0009
2669,FRAM,5,NAG,12-Aug,600,0.35669,0.0006
3029,FRAM,5,NAG,12-Aug,800,0.2212,0.0003
150,FRAM,6,NAG,12-Aug,5,-0.023311,-0.0047
510,FRAM,6,NAG,12-Aug,20,0.020039,0.001
870,FRAM,6,NAG,12-Aug,40,0.023409,0.0006
1230,FRAM,6,NAG,12-Aug,80,0.030118,0.0004
1590,FRAM,6,NAG,12-Aug,140,0.12224,0.0009
1950,FRAM,6,NAG,12-Aug,200,0.14266,0.0007
2310,FRAM,6,NAG,12-Aug,400,0.22668,0.0006
2670,FRAM,6,NAG,12-Aug,600,0.19376,0.0003
3030,FRAM,6,NAG,12-Aug,800,0.20611,0.0003
151,QURU,1,NAG,12-Aug,5,0.034073,0.0068
511,QURU,1,NAG,12-Aug,20,0.051787,0.0026
871,QURU,1,NAG,12-Aug,40,0.059781,0.0015
1231,QURU,1,NAG,12-Aug,80,0.11245,0.0014
1591,QURU,1,NAG,12-Aug,140,0.17898,0.0013
1951,QURU,1,NAG,12-Aug,200,0.17389,0.0009
2311,QURU,1,NAG,12-Aug,400,0.19704,0.0005
2671,QURU,1,NAG,12-Aug,600,0.18026,0.0003
3031,QURU,1,NAG,12-Aug,800,0.24338,0.0003
152,QURU,2,NAG,12-Aug,5,0.031876,0.0064
512,QURU,2,NAG,12-Aug,20,0.016034,0.0008
872,QURU,2,NAG,12-Aug,40,0.047686,0.0012
1232,QURU,2,NAG,12-Aug,80,0.077538,0.001
1592,QURU,2,NAG,12-Aug,140,0.075422,0.0005
1952,QURU,2,NAG,12-Aug,200,0.092363,0.0005
2312,QURU,2,NAG,12-Aug,400,0.2026,0.0005
2672,QURU,2,NAG,12-Aug,600,0.17296,0.0003
3032,QURU,2,NAG,12-Aug,800,0.12408,0.0002
153,QURU,3,NAG,12-Aug,5,0.04264,0.0085
513,QURU,3,NAG,12-Aug,20,0.054388,0.0027
873,QURU,3,NAG,12-Aug,40,0.085549,0.0021
1233,QURU,3,NAG,12-Aug,80,0.1195,0.0015
1593,QURU,3,NAG,12-Aug,140,0.16456,0.0012
1953,QURU,3,NAG,12-Aug,200,0.14051,0.0007
2313,QURU,3,NAG,12-Aug,400,0.2571,0.0006
2673,QURU,3,NAG,12-Aug,600,0.24497,0.0004
3033,QURU,3,NAG,12-Aug,800,0.19864,0.0002
154,QURU,4,NAG,12-Aug,5,0.0092006,0.0018
514,QURU,4,NAG,12-Aug,20,-0.015578,-0.0008
874,QURU,4,NAG,12-Aug,40,0.044853,0.0011
1234,QURU,4,NAG,12-Aug,80,0.058126,0.0007
1594,QURU,4,NAG,12-Aug,140,0.045711,0.0003
1954,QURU,4,NAG,12-Aug,200,0.094968,0.0005
2314,QURU,4,NAG,12-Aug,400,0.07033,0.0002
2674,QURU,4,NAG,12-Aug,600,0.055645,0.0001
3034,QURU,4,NAG,12-Aug,800,0.03712,0
155,QURU,5,NAG,12-Aug,5,-0.0039135,-0.0008
515,QURU,5,NAG,12-Aug,20,0.0049662,0.0002
875,QURU,5,NAG,12-Aug,40,0.010742,0.0003
1235,QURU,5,NAG,12-Aug,80,0.030137,0.0004
1595,QURU,5,NAG,12-Aug,140,0.06135,0.0004
1955,QURU,5,NAG,12-Aug,200,0.048764,0.0002
2315,QURU,5,NAG,12-Aug,400,0.038956,0.0001
2675,QURU,5,NAG,12-Aug,600,0.055187,0.0001
3035,QURU,5,NAG,12-Aug,800,0.009447,0
156,QURU,6,NAG,12-Aug,5,5.61E-05,0
516,QURU,6,NAG,12-Aug,20,0.0071579,0.0004
876,QURU,6,NAG,12-Aug,40,0.026785,0.0007
1236,QURU,6,NAG,12-Aug,80,0.040103,0.0005
1596,QURU,6,NAG,12-Aug,140,0.050837,0.0004
1956,QURU,6,NAG,12-Aug,200,0.065532,0.0003
2316,QURU,6,NAG,12-Aug,400,0.081274,0.0002
2676,QURU,6,NAG,12-Aug,600,0.10629,0.0002
3036,QURU,6,NAG,12-Aug,800,0.082351,0.0001
157,TSCA,1,NAG,12-Aug,5,0.021571,0.0043
517,TSCA,1,NAG,12-Aug,20,0.099064,0.005
877,TSCA,1,NAG,12-Aug,40,0.13992,0.0035
1237,TSCA,1,NAG,12-Aug,80,0.30858,0.0039
1597,TSCA,1,NAG,12-Aug,140,0.5165,0.0037
1957,TSCA,1,NAG,12-Aug,200,0.67255,0.0034
2317,TSCA,1,NAG,12-Aug,400,0.49031,0.0012
2677,TSCA,1,NAG,12-Aug,600,0.49779,0.0008
3037,TSCA,1,NAG,12-Aug,800,0.48985,0.0006
158,TSCA,2,NAG,12-Aug,5,0.041666,0.0083
518,TSCA,2,NAG,12-Aug,20,0.04476,0.0022
878,TSCA,2,NAG,12-Aug,40,0.076891,0.0019
1238,TSCA,2,NAG,12-Aug,80,0.14992,0.0019
1598,TSCA,2,NAG,12-Aug,140,0.19238,0.0014
1958,TSCA,2,NAG,12-Aug,200,0.23644,0.0012
2318,TSCA,2,NAG,12-Aug,400,0.24302,0.0006
2678,TSCA,2,NAG,12-Aug,600,0.28021,0.0005
3038,TSCA,2,NAG,12-Aug,800,0.3365,0.0004
159,TSCA,3,NAG,12-Aug,5,0.018495,0.0037
519,TSCA,3,NAG,12-Aug,20,0.12799,0.0064
879,TSCA,3,NAG,12-Aug,40,0.12592,0.0031
1239,TSCA,3,NAG,12-Aug,80,0.21874,0.0027
1599,TSCA,3,NAG,12-Aug,140,0.47689,0.0034
1959,TSCA,3,NAG,12-Aug,200,0.51501,0.0026
2319,TSCA,3,NAG,12-Aug,400,0.55792,0.0014
2679,TSCA,3,NAG,12-Aug,600,0.60365,0.001
3039,TSCA,3,NAG,12-Aug,800,0.69965,0.0009
160,TSCA,4,NAG,12-Aug,5,0.00029794,0.0001
520,TSCA,4,NAG,12-Aug,20,0.031849,0.0016
880,TSCA,4,NAG,12-Aug,40,0.037978,0.0009
1240,TSCA,4,NAG,12-Aug,80,0.092131,0.0012
1600,TSCA,4,NAG,12-Aug,140,0.12501,0.0009
1960,TSCA,4,NAG,12-Aug,200,0.16471,0.0008
2320,TSCA,4,NAG,12-Aug,400,0.16117,0.0004
2680,TSCA,4,NAG,12-Aug,600,0.17099,0.0003
3040,TSCA,4,NAG,12-Aug,800,0.27097,0.0003
161,TSCA,5,NAG,12-Aug,5,-0.006319,-0.0013
521,TSCA,5,NAG,12-Aug,20,0.043822,0.0022
881,TSCA,5,NAG,12-Aug,40,0.097081,0.0024
1241,TSCA,5,NAG,12-Aug,80,0.12138,0.0015
1601,TSCA,5,NAG,12-Aug,140,0.19741,0.0014
1961,TSCA,5,NAG,12-Aug,200,0.3447,0.0017
2321,TSCA,5,NAG,12-Aug,400,0.35639,0.0009
2681,TSCA,5,NAG,12-Aug,600,0.25165,0.0004
3041,TSCA,5,NAG,12-Aug,800,0.35747,0.0004
162,TSCA,6,NAG,12-Aug,5,0.045699,0.0091
522,TSCA,6,NAG,12-Aug,20,0.1385,0.0069
882,TSCA,6,NAG,12-Aug,40,0.14326,0.0036
1242,TSCA,6,NAG,12-Aug,80,0.28234,0.0035
1602,TSCA,6,NAG,12-Aug,140,0.4661,0.0033
1962,TSCA,6,NAG,12-Aug,200,0.68729,0.0034
2322,TSCA,6,NAG,12-Aug,400,0.75294,0.0019
2682,TSCA,6,NAG,12-Aug,600,0.77057,0.0013
3042,TSCA,6,NAG,12-Aug,800,0.96681,0.0012
169,QURU,1,NAG,19-Oct,5,0.017535,0.0035
529,QURU,1,NAG,19-Oct,20,0.053208,0.0027
889,QURU,1,NAG,19-Oct,40,0.049162,0.0012
1249,QURU,1,NAG,19-Oct,80,0.069657,0.0009
1609,QURU,1,NAG,19-Oct,140,0.067476,0.0005
1969,QURU,1,NAG,19-Oct,200,0.10567,0.0005
2329,QURU,1,NAG,19-Oct,400,0.1051,0.0003
2689,QURU,1,NAG,19-Oct,600,0.08326,0.0001
3049,QURU,1,NAG,19-Oct,800,0.083955,0.0001
170,QURU,2,NAG,19-Oct,5,0.0051787,0.001
530,QURU,2,NAG,19-Oct,20,0.034424,0.0017
890,QURU,2,NAG,19-Oct,40,0.048429,0.0012
1250,QURU,2,NAG,19-Oct,80,0.093859,0.0012
1610,QURU,2,NAG,19-Oct,140,0.092664,0.0007
1970,QURU,2,NAG,19-Oct,200,0.087035,0.0004
2330,QURU,2,NAG,19-Oct,400,0.11,0.0003
2690,QURU,2,NAG,19-Oct,600,0.12516,0.0002
3050,QURU,2,NAG,19-Oct,800,0.11234,0.0001
171,QURU,3,NAG,19-Oct,5,0.034643,0.0069
531,QURU,3,NAG,19-Oct,20,0.10007,0.005
891,QURU,3,NAG,19-Oct,40,0.14325,0.0036
1251,QURU,3,NAG,19-Oct,80,0.2723,0.0034
1611,QURU,3,NAG,19-Oct,140,0.37258,0.0027
1971,QURU,3,NAG,19-Oct,200,0.47615,0.0024
2331,QURU,3,NAG,19-Oct,400,0.34603,0.0009
2691,QURU,3,NAG,19-Oct,600,0.31062,0.0005
3051,QURU,3,NAG,19-Oct,800,0.29041,0.0004
172,QURU,4,NAG,19-Oct,5,0.033188,0.0066
532,QURU,4,NAG,19-Oct,20,0.057511,0.0029
892,QURU,4,NAG,19-Oct,40,0.053788,0.0013
1252,QURU,4,NAG,19-Oct,80,0.15122,0.0019
1612,QURU,4,NAG,19-Oct,140,0.22208,0.0016
1972,QURU,4,NAG,19-Oct,200,0.21329,0.0011
2332,QURU,4,NAG,19-Oct,400,0.23636,0.0006
2692,QURU,4,NAG,19-Oct,600,0.22684,0.0004
3052,QURU,4,NAG,19-Oct,800,0.24886,0.0003
173,QURU,5,NAG,19-Oct,5,0.033581,0.0067
533,QURU,5,NAG,19-Oct,20,0.032535,0.0016
893,QURU,5,NAG,19-Oct,40,0.035182,0.0009
1253,QURU,5,NAG,19-Oct,80,0.069061,0.0009
1613,QURU,5,NAG,19-Oct,140,0.052471,0.0004
1973,QURU,5,NAG,19-Oct,200,0.092752,0.0005
2333,QURU,5,NAG,19-Oct,400,0.070855,0.0002
2693,QURU,5,NAG,19-Oct,600,0.085116,0.0001
3053,QURU,5,NAG,19-Oct,800,0.09082,0.0001
174,QURU,6,NAG,19-Oct,5,0.021342,0.0043
534,QURU,6,NAG,19-Oct,20,0.038022,0.0019
894,QURU,6,NAG,19-Oct,40,0.059331,0.0015
1254,QURU,6,NAG,19-Oct,80,0.075207,0.0009
1614,QURU,6,NAG,19-Oct,140,0.15052,0.0011
1974,QURU,6,NAG,19-Oct,200,0.202,0.001
2334,QURU,6,NAG,19-Oct,400,0.19026,0.0005
2694,QURU,6,NAG,19-Oct,600,0.18754,0.0003
3054,QURU,6,NAG,19-Oct,800,0.21284,0.0003
175,TSCA,1,NAG,19-Oct,5,0.029578,0.0059
535,TSCA,1,NAG,19-Oct,20,0.11492,0.0057
895,TSCA,1,NAG,19-Oct,40,0.19073,0.0048
1255,TSCA,1,NAG,19-Oct,80,0.23482,0.0029
1615,TSCA,1,NAG,19-Oct,140,0.33135,0.0024
1975,TSCA,1,NAG,19-Oct,200,0.48218,0.0024
2335,TSCA,1,NAG,19-Oct,400,0.41789,0.001
2695,TSCA,1,NAG,19-Oct,600,0.63272,0.0011
3055,TSCA,1,NAG,19-Oct,800,0.57881,0.0007
176,TSCA,2,NAG,19-Oct,5,0.027539,0.0055
536,TSCA,2,NAG,19-Oct,20,0.098173,0.0049
896,TSCA,2,NAG,19-Oct,40,0.16841,0.0042
1256,TSCA,2,NAG,19-Oct,80,0.30774,0.0038
1616,TSCA,2,NAG,19-Oct,140,0.54186,0.0039
1976,TSCA,2,NAG,19-Oct,200,0.43576,0.0022
2336,TSCA,2,NAG,19-Oct,400,0.48169,0.0012
2696,TSCA,2,NAG,19-Oct,600,0.6103,0.001
3056,TSCA,2,NAG,19-Oct,800,0.64483,0.0008
177,TSCA,3,NAG,19-Oct,5,-0.00062375,-0.0001
537,TSCA,3,NAG,19-Oct,20,0.02013,0.001
897,TSCA,3,NAG,19-Oct,40,0.0085445,0.0002
1257,TSCA,3,NAG,19-Oct,80,0.030628,0.0004
1617,TSCA,3,NAG,19-Oct,140,0.032749,0.0002
1977,TSCA,3,NAG,19-Oct,200,0.039322,0.0002
2337,TSCA,3,NAG,19-Oct,400,0.084215,0.0002
2697,TSCA,3,NAG,19-Oct,600,0.055062,0.0001
3057,TSCA,3,NAG,19-Oct,800,0.080873,0.0001
178,TSCA,4,NAG,19-Oct,5,0.0058209,0.0012
538,TSCA,4,NAG,19-Oct,20,0.02796,0.0014
898,TSCA,4,NAG,19-Oct,40,0.015928,0.0004
1258,TSCA,4,NAG,19-Oct,80,0.053002,0.0007
1618,TSCA,4,NAG,19-Oct,140,0.068152,0.0005
1978,TSCA,4,NAG,19-Oct,200,0.088785,0.0004
2338,TSCA,4,NAG,19-Oct,400,0.085006,0.0002
2698,TSCA,4,NAG,19-Oct,600,0.1195,0.0002
3058,TSCA,4,NAG,19-Oct,800,0.13317,0.0002
179,TSCA,5,NAG,19-Oct,5,0.022142,0.0044
539,TSCA,5,NAG,19-Oct,20,0.041606,0.0021
899,TSCA,5,NAG,19-Oct,40,0.047811,0.0012
1259,TSCA,5,NAG,19-Oct,80,0.079961,0.001
1619,TSCA,5,NAG,19-Oct,140,0.092259,0.0007
1979,TSCA,5,NAG,19-Oct,200,0.10062,0.0005
2339,TSCA,5,NAG,19-Oct,400,0.073486,0.0002
2699,TSCA,5,NAG,19-Oct,600,0.070872,0.0001
3059,TSCA,5,NAG,19-Oct,800,0.096991,0.0001
180,TSCA,6,NAG,19-Oct,5,0.035455,0.0071
540,TSCA,6,NAG,19-Oct,20,0.041907,0.0021
900,TSCA,6,NAG,19-Oct,40,0.049191,0.0012
1260,TSCA,6,NAG,19-Oct,80,0.057207,0.0007
1620,TSCA,6,NAG,19-Oct,140,0.11315,0.0008
1980,TSCA,6,NAG,19-Oct,200,0.11987,0.0006
2340,TSCA,6,NAG,19-Oct,400,0.13397,0.0003
2700,TSCA,6,NAG,19-Oct,600,0.17124,0.0003
3060,TSCA,6,NAG,19-Oct,800,0.17615,0.0002
163,FRAM,1,NAG,15-Nov,5,0.013189,0.0026
523,FRAM,1,NAG,15-Nov,20,0.030608,0.0015
883,FRAM,1,NAG,15-Nov,40,0.034649,0.0009
1243,FRAM,1,NAG,15-Nov,80,0.039875,0.0005
1603,FRAM,1,NAG,15-Nov,140,0.064043,0.0005
1963,FRAM,1,NAG,15-Nov,200,0.10233,0.0005
