species,substrate,concentration,activity
TSCA,AP ,6,0.081564
TSCA,AP ,30,0.29141
TSCA,AP ,60,0.38974
TSCA,AP ,100,0.49108
TSCA,AP ,160,0.59475
TSCA,AP ,250,NaN
TSCA,AP ,500,NaN
TSCA,AP ,750,NaN
TSCA,AP ,1000,NaN
TSCA,AP ,6,0.080842
TSCA,AP ,30,0.31499
TSCA,AP ,60,0.57519
TSCA,AP ,100,0.70702
TSCA,AP ,160,0.82968
TSCA,AP ,250,NaN
TSCA,AP ,500,NaN
TSCA,AP ,750,NaN
TSCA,AP ,1000,NaN
TSCA,AP ,6,0.149
TSCA,AP ,30,0.50669
TSCA,AP ,60,0.74884
TSCA,AP ,100,0.95275
TSCA,AP ,160,1.2732
TSCA,AP ,250,1.3245
TSCA,AP ,500,1.5504
TSCA,AP ,750,1.9206
TSCA,AP ,1000,1.7137
TSCA,AP ,6,0.12034
TSCA,AP ,30,0.45871
TSCA,AP ,60,0.63188
TSCA,AP ,100,0.75306
TSCA,AP ,160,1.0531
TSCA,AP ,250,1.1344
TSCA,AP ,500,1.3136
TSCA,AP ,750,1.2307
TSCA,AP ,1000,1.4649
TSCA,AP ,6,0.12527
TSCA,AP ,30,0.33075
TSCA,AP ,60,0.61276
TSCA,AP ,100,0.88008
TSCA,AP ,160,1.1842
TSCA,AP ,250,1.2049
TSCA,AP ,500,1.3232
TSCA,AP ,750,1.284
TSCA,AP ,1000,1.5079
TSCA,AP ,6,0.15206
TSCA,AP ,30,0.5199
TSCA,AP ,60,0.66602
TSCA,AP ,100,0.995
TSCA,AP ,160,1.2965
TSCA,AP ,250,1.476
TSCA,AP ,500,1.6597
TSCA,AP ,750,1.867
TSCA,AP ,1000,1.6025
FRAM,AP ,6,0.12876
FRAM,AP ,30,0.34437
FRAM,AP ,60,0.44454
FRAM,AP ,100,0.5204
FRAM,AP ,160,0.56753
FRAM,AP ,250,0.65843
FRAM,AP ,500,0.7173
FRAM,AP ,750,0.71418
FRAM,AP ,1000,0.81811
FRAM,AP ,6,0.14045
FRAM,AP ,30,0.40317
FRAM,AP ,60,0.56547
FRAM,AP ,100,0.59482
FRAM,AP ,160,0.75259
FRAM,AP ,250,0.72931
FRAM,AP ,500,0.79738
FRAM,AP ,750,0.82056
FRAM,AP ,1000,0.8855
FRAM,AP ,6,0.15483
FRAM,AP ,30,0.50531
FRAM,AP ,60,0.71458
FRAM,AP ,100,0.87834
FRAM,AP ,160,0.98725
FRAM,AP ,250,1.0132
FRAM,AP ,500,1.1201
FRAM,AP ,750,1.1436
FRAM,AP ,1000,1.2457
FRAM,AP ,6,0.14302
FRAM,AP ,30,0.53558
FRAM,AP ,60,0.78419
FRAM,AP ,100,1.0982
FRAM,AP ,160,1.1817
FRAM,AP ,250,1.5077
FRAM,AP ,500,1.8101
FRAM,AP ,750,1.8688
FRAM,AP ,1000,1.7305
FRAM,AP ,6,0.1477
FRAM,AP ,30,0.63696
FRAM,AP ,60,1.1702
FRAM,AP ,100,1.5531
FRAM,AP ,160,2.0216
FRAM,AP ,250,2.5618
FRAM,AP ,500,3.1675
FRAM,AP ,750,3.2344
FRAM,AP ,1000,3.3209
FRAM,AP ,6,0.15506
FRAM,AP ,30,0.58801
FRAM,AP ,60,0.92599
FRAM,AP ,100,1.2098
FRAM,AP ,160,1.437
FRAM,AP ,250,1.7316
FRAM,AP ,500,1.9102
FRAM,AP ,750,2.0323
FRAM,AP ,1000,1.8214
FRAM,BG ,3,0.11758
FRAM,BG ,15,0.29696
FRAM,BG ,30,0.49564
FRAM,BG ,60,0.55958
FRAM,BG ,85,0.68891
FRAM,BG ,150,0.63867
FRAM,BG ,250,0.8847
FRAM,BG ,375,0.94762
FRAM,BG ,500,1.0507
FRAM,BG ,3,0.12856
FRAM,BG ,15,0.32627
FRAM,BG ,30,0.55403
FRAM,BG ,60,0.77633
FRAM,BG ,85,0.93367
FRAM,BG ,150,1.0372
FRAM,BG ,250,1.3464
FRAM,BG ,375,1.7267
FRAM,BG ,500,1.6902
FRAM,BG ,3,0.11353
FRAM,BG ,15,0.36807
FRAM,BG ,30,0.59301
FRAM,BG ,60,0.91497
FRAM,BG ,85,1.467
FRAM,BG ,150,1.4053
FRAM,BG ,250,2.0253
FRAM,BG ,375,2.0461
FRAM,BG ,500,2.3362
FRAM,BG ,3,0.17255
FRAM,BG ,15,0.66802
FRAM,BG ,30,0.986
FRAM,BG ,60,1.7943
FRAM,BG ,85,2.1467
FRAM,BG ,150,2.4153
FRAM,BG ,250,2.712
FRAM,BG ,375,2.993
FRAM,BG ,500,3.0303
FRAM,BG ,3,0.08958
FRAM,BG ,15,0.42192
FRAM,BG ,30,0.78977
FRAM,BG ,60,1.1176
FRAM,BG ,85,1.7831
FRAM,BG ,150,2.1147
FRAM,BG ,250,2.3189
FRAM,BG ,375,2.8228
FRAM,BG ,500,3.6864
FRAM,BG ,3,0.10305
FRAM,BG ,15,0.34151
FRAM,BG ,30,0.4236
FRAM,BG ,60,0.59497
FRAM,BG ,85,0.71166
FRAM,BG ,150,0.80975
FRAM,BG ,250,1.0014
FRAM,BG ,375,1.0594
FRAM,BG ,500,1.067
QURU,BG ,3,0.043071
QURU,BG ,15,0.099689
QURU,BG ,30,0.10045
QURU,BG ,60,0.14378
QURU,BG ,85,0.16496
QURU,BG ,150,0.2561
QURU,BG ,250,0.23881
QURU,BG ,375,0.17229
QURU,BG ,500,0.28116
QURU,BG ,3,0.081664
QURU,BG ,15,0.24717
QURU,BG ,30,0.2582
QURU,BG ,60,0.37961
QURU,BG ,85,0.50238
QURU,BG ,150,0.402
QURU,BG ,250,0.46292
QURU,BG ,375,0.52098
QURU,BG ,500,0.46218
QURU,BG ,3,0.068688
QURU,BG ,15,0.27015
QURU,BG ,30,0.31652
QURU,BG ,60,0.44778
QURU,BG ,85,0.49557
QURU,BG ,150,0.44326
QURU,BG ,250,0.55255
