species,substrate,concentration,activity
TSCA,CBH,500,0.034948
FRAM,CBH,3,0.025836
FRAM,CBH,15,0.086468
FRAM,CBH,30,0.12841
FRAM,CBH,60,0.21256
FRAM,CBH,85,0.24762
FRAM,CBH,150,0.2408
FRAM,CBH,250,0.25372
FRAM,CBH,375,0.25552
FRAM,CBH,500,0.26051
FRAM,CBH,3,0.069013
FRAM,CBH,15,0.21467
FRAM,CBH,30,0.31706
FRAM,CBH,60,0.39805
FRAM,CBH,85,0.41221
FRAM,CBH,150,0.48116
FRAM,CBH,250,0.62145
FRAM,CBH,375,0.60795
FRAM,CBH,500,0.55523
FRAM,CBH,3,0.031258
FRAM,CBH,15,0.05973
FRAM,CBH,30,0.070154
FRAM,CBH,60,0.13439
FRAM,CBH,85,0.16971
FRAM,CBH,150,0.17072
FRAM,CBH,250,0.15756
FRAM,CBH,375,0.20562
FRAM,CBH,500,0.13299
FRAM,CBH,3,0.03456
FRAM,CBH,15,0.04715
FRAM,CBH,30,0.073327
FRAM,CBH,60,0.1213
FRAM,CBH,85,0.10762
FRAM,CBH,150,0.11377
FRAM,CBH,250,0.14261
FRAM,CBH,375,0.16093
FRAM,CBH,500,0.12352
FRAM,CBH,3,0.04265
FRAM,CBH,15,0.11217
FRAM,CBH,30,0.16717
FRAM,CBH,60,0.20066
FRAM,CBH,85,0.23811
FRAM,CBH,150,0.26947
FRAM,CBH,250,0.30379
FRAM,CBH,375,0.24796
FRAM,CBH,500,0.28528
FRAM,CBH,3,0.055534
FRAM,CBH,15,0.10054
FRAM,CBH,30,0.13731
FRAM,CBH,60,0.22966
FRAM,CBH,85,0.27453
FRAM,CBH,150,0.1963
FRAM,CBH,250,0.25983
FRAM,CBH,375,0.21396
FRAM,CBH,500,0.252
QURU,CBH,3,0.019938
QURU,CBH,15,0.030822
QURU,CBH,30,0.086255
QURU,CBH,60,0.08186
QURU,CBH,85,0.07643
QURU,CBH,150,0.075156
QURU,CBH,250,0.089001
QURU,CBH,375,0.031819
QURU,CBH,500,0.061662
QURU,CBH,3,0.013462
QURU,CBH,15,-0.0039687
QURU,CBH,30,0.02955
QURU,CBH,60,0.024939
QURU,CBH,85,0.023154
QURU,CBH,150,0.042137
QURU,CBH,250,0.040907
QURU,CBH,375,0.027005
QURU,CBH,500,0.02228
QURU,CBH,3,0.068225
QURU,CBH,15,0.075163
QURU,CBH,30,0.10276
QURU,CBH,60,0.089483
QURU,CBH,85,0.11448
QURU,CBH,150,0.090365
QURU,CBH,250,0.085469
QURU,CBH,375,0.087529
QURU,CBH,500,0.078981
QURU,CBH,3,0.020346
QURU,CBH,15,0.044398
QURU,CBH,30,0.052461
QURU,CBH,60,0.082249
QURU,CBH,85,0.093477
QURU,CBH,150,0.055301
QURU,CBH,250,0.057386
QURU,CBH,375,0.061498
QURU,CBH,500,0.061929
QURU,CBH,3,0.023266
QURU,CBH,15,0.061289
QURU,CBH,30,0.068042
QURU,CBH,60,0.10315
QURU,CBH,85,0.087445
QURU,CBH,150,0.11572
QURU,CBH,250,0.08152
QURU,CBH,375,0.048238
QURU,CBH,500,0.042916
QURU,CBH,3,0.023445
QURU,CBH,15,0.034902
QURU,CBH,30,0.034276
QURU,CBH,60,0.033577
QURU,CBH,85,0.035129
QURU,CBH,150,0.065762
QURU,CBH,250,0.073533
QURU,CBH,375,0.031654
QURU,CBH,500,0.087721
TSCA,CBH,3,0.012391
TSCA,CBH,15,0.036928
TSCA,CBH,30,0.090763
TSCA,CBH,60,0.056419
TSCA,CBH,85,0.06524
TSCA,CBH,150,0.07728
TSCA,CBH,250,0.075251
TSCA,CBH,375,0.053802
TSCA,CBH,500,0.040923
TSCA,CBH,3,-0.0043309
TSCA,CBH,15,-0.01143
TSCA,CBH,30,0.011441
TSCA,CBH,60,0.021384
TSCA,CBH,85,0.0095029
TSCA,CBH,150,0.011872
TSCA,CBH,250,0.029245
TSCA,CBH,375,0.0052177
TSCA,CBH,500,0.046311
TSCA,CBH,3,0.022655
TSCA,CBH,15,0.053263
TSCA,CBH,30,0.07321
TSCA,CBH,60,0.096281
TSCA,CBH,85,0.15127
TSCA,CBH,150,0.089583
TSCA,CBH,250,0.096602
TSCA,CBH,375,0.11272
TSCA,CBH,500,0.034832
TSCA,CBH,3,0.055668
TSCA,CBH,15,0.08866
TSCA,CBH,30,0.10811
TSCA,CBH,60,0.14793
TSCA,CBH,85,0.15203
TSCA,CBH,150,0.12931
TSCA,CBH,250,0.11154
TSCA,CBH,375,0.1329
TSCA,CBH,500,0.084379
TSCA,CBH,3,0.052992
TSCA,CBH,15,0.09093
TSCA,CBH,30,0.11271
TSCA,CBH,60,0.20147
TSCA,CBH,85,0.12854
TSCA,CBH,150,0.13203
TSCA,CBH,250,0.10653
TSCA,CBH,375,0.11614
TSCA,CBH,500,0.14464
TSCA,CBH,3,0.05135
TSCA,CBH,15,0.085304
TSCA,CBH,30,0.095436
TSCA,CBH,60,0.14077
TSCA,CBH,85,0.098072
TSCA,CBH,150,0.11215
TSCA,CBH,250,0.098388
TSCA,CBH,375,0.088304
TSCA,CBH,500,0.062612
FRAM,CBH,3,0.0029496
FRAM,CBH,15,0.055821
FRAM,CBH,30,0.046989
FRAM,CBH,60,0.0741
FRAM,CBH,85,0.13483
FRAM,CBH,150,0.13424
FRAM,CBH,250,0.10883
FRAM,CBH,375,0.12482
FRAM,CBH,500,0.12471
FRAM,CBH,3,0.01668
FRAM,CBH,15,0.074826
FRAM,CBH,30,0.078792
FRAM,CBH,60,0.11357
FRAM,CBH,85,0.17131
FRAM,CBH,150,0.12937
FRAM,CBH,250,0.15702
FRAM,CBH,375,0.18048
FRAM,CBH,500,0.19489
FRAM,CBH,3,0.031105
FRAM,CBH,15,0.08138
FRAM,CBH,30,0.11179
FRAM,CBH,60,0.156
FRAM,CBH,85,0.19058
FRAM,CBH,150,0.17408
FRAM,CBH,250,0.19657
FRAM,CBH,375,0.1774
FRAM,CBH,500,0.20412
FRAM,CBH,3,0.044971
FRAM,CBH,15,0.10342
FRAM,CBH,30,0.11665
FRAM,CBH,60,0.15381
FRAM,CBH,85,0.22106
FRAM,CBH,150,0.21835
FRAM,CBH,250,0.16752
FRAM,CBH,375,0.17949
FRAM,CBH,500,0.162
FRAM,CBH,3,0.030248
FRAM,CBH,15,0.085775
FRAM,CBH,30,0.075026
FRAM,CBH,60,0.11475
FRAM,CBH,85,0.12366
FRAM,CBH,150,0.11918
FRAM,CBH,250,0.11881
FRAM,CBH,375,0.10207
FRAM,CBH,500,0.10949
FRAM,CBH,3,0.048296
FRAM,CBH,15,0.10581
FRAM,CBH,30,0.10993
FRAM,CBH,60,0.17282
FRAM,CBH,85,0.16559
FRAM,CBH,150,0.2209
FRAM,CBH,250,0.25567
FRAM,CBH,375,0.20655
FRAM,CBH,500,0.29081
QURU,CBH,3,0.016087
QURU,CBH,15,0.091798
QURU,CBH,30,0.066048
QURU,CBH,60,0.064205
QURU,CBH,85,0.096391
QURU,CBH,150,0.079564
QURU,CBH,250,0.11846
QURU,CBH,375,0.06114
QURU,CBH,500,0.05631
QURU,CBH,3,0.0038887
QURU,CBH,15,0.034815
QURU,CBH,30,0.053231
QURU,CBH,60,0.11639
QURU,CBH,85,0.12612
QURU,CBH,150,0.090372
QURU,CBH,250,0.14007
QURU,CBH,375,0.091446
QURU,CBH,500,0.10458
QURU,CBH,3,-0.0050444
QURU,CBH,15,0.056746
QURU,CBH,30,0.034425
QURU,CBH,60,0.07605
QURU,CBH,85,0.10643
QURU,CBH,150,0.017133
QURU,CBH,250,0.048971
QURU,CBH,375,0.037623
QURU,CBH,500,0.040645
QURU,CBH,3,0.031041
QURU,CBH,15,0.075341
QURU,CBH,30,0.05647
QURU,CBH,60,0.09682
QURU,CBH,85,0.088225
QURU,CBH,150,0.071143
QURU,CBH,250,0.076921
QURU,CBH,375,0.046891
QURU,CBH,500,0.038362
QURU,CBH,3,0.015354
QURU,CBH,15,0.0712
QURU,CBH,30,0.048634
QURU,CBH,60,0.05452
QURU,CBH,85,0.11713
QURU,CBH,150,0.073447
QURU,CBH,250,0.057829
QURU,CBH,375,0.061378
QURU,CBH,500,0.058039
QURU,CBH,3,0.0015156
QURU,CBH,15,0.049762
QURU,CBH,30,0.039737
QURU,CBH,60,0.080654
QURU,CBH,85,0.081095
QURU,CBH,150,0.052287
QURU,CBH,250,0.048587
QURU,CBH,375,0.06159
QURU,CBH,500,0.034255
TSCA,CBH,3,-0.0036613
TSCA,CBH,15,0.055926
TSCA,CBH,30,0.095871
TSCA,CBH,60,0.092192
TSCA,CBH,85,0.14559
TSCA,CBH,150,0.08748
TSCA,CBH,250,0.056959
TSCA,CBH,375,0.047622
TSCA,CBH,500,0.083236
TSCA,CBH,3,0.031276
TSCA,CBH,15,0.13512
TSCA,CBH,30,0.14615
TSCA,CBH,60,0.18033
TSCA,CBH,85,0.17295
TSCA,CBH,150,0.13235
TSCA,CBH,250,0.16735
TSCA,CBH,375,0.16243
TSCA,CBH,500,0.15696
TSCA,CBH,3,0.024472
TSCA,CBH,15,0.08032
TSCA,CBH,30,0.083982
TSCA,CBH,60,0.090796
TSCA,CBH,85,0.069098
TSCA,CBH,150,0.14168
TSCA,CBH,250,0.061515
TSCA,CBH,375,0.075798
TSCA,CBH,500,0.10221
TSCA,CBH,3,0.042076
TSCA,CBH,15,0.044848
TSCA,CBH,30,0.016208
TSCA,CBH,60,0.039065
TSCA,CBH,85,0.033371
TSCA,CBH,150,0.0080462
TSCA,CBH,250,0.043713
TSCA,CBH,375,0.014895
TSCA,CBH,500,0.027804
TSCA,CBH,3,0.047494
TSCA,CBH,15,0.077041
TSCA,CBH,30,0.10005
TSCA,CBH,60,0.1371
TSCA,CBH,85,0.14405
TSCA,CBH,150,0.12789
TSCA,CBH,250,0.1007
TSCA,CBH,375,0.095411
TSCA,CBH,500,0.072832
TSCA,CBH,3,0.0022736
TSCA,CBH,15,0.04236
TSCA,CBH,30,0.071256
TSCA,CBH,60,0.077827
TSCA,CBH,85,0.12869
TSCA,CBH,150,0.065328
TSCA,CBH,250,0.15787
TSCA,CBH,375,0.090146
TSCA,CBH,500,0.073359
FRAM,CBH,3,0.024876
FRAM,CBH,15,0.023329
FRAM,CBH,30,0.033069
FRAM,CBH,60,0.056301
FRAM,CBH,85,0.046379
FRAM,CBH,150,0.042216
FRAM,CBH,250,0.045472
FRAM,CBH,375,0.051956
FRAM,CBH,500,0.046045
FRAM,CBH,3,0.024867
FRAM,CBH,15,0.034446
FRAM,CBH,30,0.039562
FRAM,CBH,60,0.072466
FRAM,CBH,85,0.066445
FRAM,CBH,150,0.071748
FRAM,CBH,250,0.06139
FRAM,CBH,375,0.10317
FRAM,CBH,500,0.049235
FRAM,CBH,3,0.037826
FRAM,CBH,15,0.062068
FRAM,CBH,30,0.056514
FRAM,CBH,60,0.092262
FRAM,CBH,85,0.087837
FRAM,CBH,150,0.096292
FRAM,CBH,250,0.081381
FRAM,CBH,375,0.082826
FRAM,CBH,500,0.076682
FRAM,CBH,3,0.022265
FRAM,CBH,15,0.041438
FRAM,CBH,30,0.052448
FRAM,CBH,60,0.049054
FRAM,CBH,85,0.068613
FRAM,CBH,150,0.076714
FRAM,CBH,250,0.099116
FRAM,CBH,375,0.072893
FRAM,CBH,500,0.089013
FRAM,CBH,3,6.94E-05
FRAM,CBH,15,0.020965
FRAM,CBH,30,0.035879
FRAM,CBH,60,0.029809
FRAM,CBH,85,0.058471
FRAM,CBH,150,0.054653
FRAM,CBH,250,0.051817
FRAM,CBH,375,0.056682
FRAM,CBH,500,0.069463
FRAM,CBH,3,0.020826
FRAM,CBH,15,0.037999
FRAM,CBH,30,0.04479
FRAM,CBH,60,0.062669
FRAM,CBH,85,0.087641
FRAM,CBH,150,0.061423
FRAM,CBH,250,0.066947
FRAM,CBH,375,0.045066
FRAM,CBH,500,0.045732
QURU,CBH,3,0.0024916
QURU,CBH,15,0.014345
QURU,CBH,30,0.0079788
QURU,CBH,60,0.0031412
QURU,CBH,85,0.020467
QURU,CBH,150,0.010638
QURU,CBH,250,0.010217
QURU,CBH,375,NaN
QURU,CBH,500,NaN
QURU,CBH,3,0.0056805
QURU,CBH,15,0.028412
QURU,CBH,30,0.043255
QURU,CBH,60,0.050568
QURU,CBH,85,0.064563
QURU,CBH,150,0.05983
QURU,CBH,250,0.068613
QURU,CBH,375,0.066541
QURU,CBH,500,0.028896
QURU,CBH,3,0.0017622
QURU,CBH,15,0.02242
QURU,CBH,30,0.012304
QURU,CBH,60,0.016578
QURU,CBH,85,0.011418
QURU,CBH,150,0.018675
QURU,CBH,250,0.020808
QURU,CBH,375,0.027694
QURU,CBH,500,0.024921
QURU,CBH,3,-0.00081565
QURU,CBH,15,0.035688
QURU,CBH,30,0.031167
QURU,CBH,60,0.041706
QURU,CBH,85,0.035713
QURU,CBH,150,0.035269
QURU,CBH,250,0.0466
QURU,CBH,375,0.045143
QURU,CBH,500,0.057181
QURU,CBH,3,-0.0064768
QURU,CBH,15,0.0010135
QURU,CBH,30,NaN
QURU,CBH,60,0.0094317
QURU,CBH,85,0.0084482
QURU,CBH,150,0.011025
QURU,CBH,250,0.013794
QURU,CBH,375,NaN
QURU,CBH,500,NaN
QURU,CBH,3,0.0020952
QURU,CBH,15,0.0094032
QURU,CBH,30,NaN
QURU,CBH,60,0.012556
QURU,CBH,85,0.017179
QURU,CBH,150,0.017487
QURU,CBH,250,0.0092531
QURU,CBH,375,0.015808
QURU,CBH,500,NaN
TSCA,CBH,3,0.022793
TSCA,CBH,15,0.054183
TSCA,CBH,30,0.067557
TSCA,CBH,60,0.094233
TSCA,CBH,85,0.098997
TSCA,CBH,150,0.063516
TSCA,CBH,250,0.064027
TSCA,CBH,375,0.064521
TSCA,CBH,500,0.049893
TSCA,CBH,3,0.0056056
TSCA,CBH,15,0.023251
TSCA,CBH,30,0.0071109
TSCA,CBH,60,0.020867
TSCA,CBH,85,0.03777
TSCA,CBH,150,0.012364
TSCA,CBH,250,0.017522
TSCA,CBH,375,0.016524
TSCA,CBH,500,0.019141
TSCA,CBH,3,0.058308
TSCA,CBH,15,0.03036
TSCA,CBH,30,0.059851
TSCA,CBH,60,0.071947
TSCA,CBH,85,0.049094
TSCA,CBH,150,0.11426
TSCA,CBH,250,0.06043
TSCA,CBH,375,0.075548
TSCA,CBH,500,0.054881
TSCA,CBH,3,-0.0017716
TSCA,CBH,15,-0.0079595
TSCA,CBH,30,-0.00062339
TSCA,CBH,60,-0.0029105
TSCA,CBH,85,0.0046643
TSCA,CBH,150,0.024106
TSCA,CBH,250,0.019043
TSCA,CBH,375,0.0081338
TSCA,CBH,500,-0.00072487
TSCA,CBH,3,0.027178
TSCA,CBH,15,0.042611
TSCA,CBH,30,0.076407
TSCA,CBH,60,0.063672
TSCA,CBH,85,0.075918
TSCA,CBH,150,0.06666
TSCA,CBH,250,0.090453
TSCA,CBH,375,0.0923
TSCA,CBH,500,0.10602
TSCA,CBH,3,0.039166
TSCA,CBH,15,0.048424
TSCA,CBH,30,0.073329
TSCA,CBH,60,0.049029
TSCA,CBH,85,0.060455
TSCA,CBH,150,0.09346
TSCA,CBH,250,0.057258
TSCA,CBH,375,0.10737
TSCA,CBH,500,0.078989
QURU,CBH,3,0.036302
QURU,CBH,15,0.037195
QURU,CBH,30,0.12463
QURU,CBH,60,0.135
QURU,CBH,85,0.13299
QURU,CBH,150,0.18562
QURU,CBH,250,0.20694
QURU,CBH,375,0.14087
QURU,CBH,500,0.1428
QURU,CBH,3,0.042903
QURU,CBH,15,0.062753
QURU,CBH,30,0.099043
QURU,CBH,60,0.13861
QURU,CBH,85,0.14147
QURU,CBH,150,0.14315
QURU,CBH,250,0.26428
QURU,CBH,375,0.24894
QURU,CBH,500,0.2262
QURU,CBH,3,0.0011318
QURU,CBH,15,-0.0066867
QURU,CBH,30,0.029398
QURU,CBH,60,0.025401
QURU,CBH,85,0.062617
QURU,CBH,150,0.015805
QURU,CBH,250,0.058441
QURU,CBH,375,0.034235
QURU,CBH,500,0.029331
QURU,CBH,3,0.036905
QURU,CBH,15,0.027951
QURU,CBH,30,0.08381
QURU,CBH,60,0.10974
QURU,CBH,85,0.13279
QURU,CBH,150,0.14396
QURU,CBH,250,0.09461
QURU,CBH,375,0.16107
QURU,CBH,500,0.15873
QURU,CBH,3,0.036625
QURU,CBH,15,0.063001
QURU,CBH,30,0.20891
QURU,CBH,60,0.34402
QURU,CBH,85,0.34068
QURU,CBH,150,0.43904
QURU,CBH,250,0.42302
QURU,CBH,375,0.46474
QURU,CBH,500,0.44016
QURU,CBH,3,0.086413
QURU,CBH,15,0.18298
QURU,CBH,30,0.22
QURU,CBH,60,0.24403
QURU,CBH,85,0.21574
QURU,CBH,150,0.26858
QURU,CBH,250,0.29738
QURU,CBH,375,0.2162
QURU,CBH,500,0.20266
TSCA,CBH,3,0.034566
TSCA,CBH,15,0.19464
TSCA,CBH,30,0.26595
TSCA,CBH,60,0.3241
TSCA,CBH,85,0.38222
TSCA,CBH,150,0.22426
TSCA,CBH,250,0.22791
TSCA,CBH,375,0.22829
TSCA,CBH,500,0.24346
TSCA,CBH,3,-0.053108
TSCA,CBH,15,-0.022239
TSCA,CBH,30,0.013227
TSCA,CBH,60,0.0028189
TSCA,CBH,85,0.076972
TSCA,CBH,150,0.082801
TSCA,CBH,250,0.18943
TSCA,CBH,375,0.017001
TSCA,CBH,500,0.074425
TSCA,CBH,3,0.12365
TSCA,CBH,15,0.048272
TSCA,CBH,30,0.041233
TSCA,CBH,60,0.18394
TSCA,CBH,85,0.15643
TSCA,CBH,150,0.10559
TSCA,CBH,250,0.086469
TSCA,CBH,375,0.011744
TSCA,CBH,500,0.14021
TSCA,CBH,3,-0.034889
TSCA,CBH,15,0.0091837
TSCA,CBH,30,0.004636
TSCA,CBH,60,-0.0065236
TSCA,CBH,85,0.022575
TSCA,CBH,150,0.019196
TSCA,CBH,250,0.047162
TSCA,CBH,375,0.025193
TSCA,CBH,500,-0.0051682
TSCA,CBH,3,-0.043828
TSCA,CBH,15,-0.067797
TSCA,CBH,30,0.048258
TSCA,CBH,60,-0.057762
TSCA,CBH,85,0.044583
TSCA,CBH,150,0.11331
TSCA,CBH,250,0.051447
TSCA,CBH,375,0.054162
TSCA,CBH,500,0.025217
TSCA,CBH,3,-0.096175
TSCA,CBH,15,-0.045272
TSCA,CBH,30,-0.0099831
TSCA,CBH,60,-0.091858
TSCA,CBH,85,0.0060002
TSCA,CBH,150,-0.051331
TSCA,CBH,250,0.016491
TSCA,CBH,375,-0.046479
TSCA,CBH,500,-0.071365
FRAM,CBH,3,0.004473
FRAM,CBH,15,0.067866
FRAM,CBH,30,0.029498
FRAM,CBH,60,0.068062
FRAM,CBH,85,0.057572
FRAM,CBH,150,0.034645
FRAM,CBH,250,0.058171
FRAM,CBH,375,0.041142
FRAM,CBH,500,0.01704
FRAM,CBH,3,0.10751
FRAM,CBH,15,0.1256
FRAM,CBH,30,0.1122
FRAM,CBH,60,0.098719
FRAM,CBH,85,0.095926
FRAM,CBH,150,0.082606
FRAM,CBH,250,0.11262
FRAM,CBH,375,0.1342
FRAM,CBH,500,0.12004
FRAM,CBH,3,-0.015164
FRAM,CBH,15,0.068983
FRAM,CBH,30,0.080008
FRAM,CBH,60,0.027417
FRAM,CBH,85,0.12865
FRAM,CBH,150,0.039266
FRAM,CBH,250,0.025201
FRAM,CBH,375,-0.0045018
FRAM,CBH,500,0.049445
FRAM,CBH,3,-0.093426
FRAM,CBH,15,-0.073318
FRAM,CBH,30,-0.10483
FRAM,CBH,60,-0.033886
FRAM,CBH,85,-0.045707
FRAM,CBH,150,-0.079737
FRAM,CBH,250,-0.013621
FRAM,CBH,375,-0.079986
FRAM,CBH,500,-0.090197
FRAM,CBH,3,0.059585
FRAM,CBH,15,0.00026616
FRAM,CBH,30,0.054275
FRAM,CBH,60,0.19797
FRAM,CBH,85,0.16241
FRAM,CBH,150,0.11927
FRAM,CBH,250,0.064632
FRAM,CBH,375,0.21561
FRAM,CBH,500,0.23271
FRAM,CBH,3,-0.040798
FRAM,CBH,15,-0.062268
FRAM,CBH,30,-0.030049
FRAM,CBH,60,0.027511
FRAM,CBH,85,-0.0073525
FRAM,CBH,150,-0.01971
FRAM,CBH,250,0.05627
FRAM,CBH,375,0.056764
FRAM,CBH,500,0.00079172
FRAM,NAG,5,0.060323
FRAM,NAG,20,0.10542
FRAM,NAG,40,0.094466
FRAM,NAG,80,0.076177
FRAM,NAG,140,0.094108
FRAM,NAG,200,0.10823
FRAM,NAG,400,0.13841
FRAM,NAG,600,0.18235
FRAM,NAG,800,0.17843
FRAM,NAG,5,0.014772
FRAM,NAG,20,0.10954
FRAM,NAG,40,0.10087
FRAM,NAG,80,0.1252
FRAM,NAG,140,0.11233
FRAM,NAG,200,0.20994
FRAM,NAG,400,0.22408
FRAM,NAG,600,0.23203
FRAM,NAG,800,0.36173
FRAM,NAG,5,-0.00036161
FRAM,NAG,20,0.033525
FRAM,NAG,40,-0.0018727
FRAM,NAG,80,0.046787
FRAM,NAG,140,0.11261
FRAM,NAG,200,0.093436
FRAM,NAG,400,0.14024
FRAM,NAG,600,0.1669
FRAM,NAG,800,0.24536
FRAM,NAG,5,-0.010894
FRAM,NAG,20,0.047112
FRAM,NAG,40,0.10199
FRAM,NAG,80,0.14102
FRAM,NAG,140,0.38018
FRAM,NAG,200,0.43234
FRAM,NAG,400,0.58931
FRAM,NAG,600,0.6731
FRAM,NAG,800,0.70996
FRAM,NAG,5,0.019615
FRAM,NAG,20,0.081484
FRAM,NAG,40,0.1002
FRAM,NAG,80,0.14438
FRAM,NAG,140,0.30181
FRAM,NAG,200,0.39395
FRAM,NAG,400,0.41517
FRAM,NAG,600,0.46577
FRAM,NAG,800,0.49988
FRAM,NAG,5,0.034164
FRAM,NAG,20,0.051064
FRAM,NAG,40,0.063555
FRAM,NAG,80,0.10689
FRAM,NAG,140,0.12064
FRAM,NAG,200,0.17352
FRAM,NAG,400,0.17091
FRAM,NAG,600,0.2598
FRAM,NAG,800,0.21356
QURU,NAG,5,0.0010493
QURU,NAG,20,-0.0069497
QURU,NAG,40,0.020254
QURU,NAG,80,0.069869
QURU,NAG,140,0.044289
QURU,NAG,200,0.11462
QURU,NAG,400,0.050257
QURU,NAG,600,0.10516
QURU,NAG,800,0.082146
QURU,NAG,5,0.002711
QURU,NAG,20,-0.00081464
QURU,NAG,40,0.034237
QURU,NAG,80,0.029134
QURU,NAG,140,0.055341
QURU,NAG,200,0.094464
QURU,NAG,400,0.12117
QURU,NAG,600,0.14443
QURU,NAG,800,0.15363
QURU,NAG,5,0.0035588
QURU,NAG,20,0.043135
QURU,NAG,40,0.084611
QURU,NAG,80,0.115
QURU,NAG,140,0.23336
QURU,NAG,200,0.34577
QURU,NAG,400,0.29025
QURU,NAG,600,0.45211
QURU,NAG,800,0.49636
QURU,NAG,5,0.038328
QURU,NAG,20,0.06116
QURU,NAG,40,0.070342
QURU,NAG,80,0.10385
QURU,NAG,140,0.073151
QURU,NAG,200,0.17096
QURU,NAG,400,0.13508
QURU,NAG,600,0.1853
QURU,NAG,800,0.20773
QURU,NAG,5,0.030849
QURU,NAG,20,0.017144
QURU,NAG,40,0.029347
QURU,NAG,80,0.044932
QURU,NAG,140,0.097677
QURU,NAG,200,0.040305
QURU,NAG,400,0.058016
QURU,NAG,600,0.050893
QURU,NAG,800,0.076217
QURU,NAG,5,0.0062279
QURU,NAG,20,0.01516
QURU,NAG,40,0.013784
QURU,NAG,80,0.036113
QURU,NAG,140,0.058725
QURU,NAG,200,0.048886
QURU,NAG,400,0.089206
QURU,NAG,600,0.063408
QURU,NAG,800,0.047677
TSCA,NAG,5,0.038991
TSCA,NAG,20,0.10191
TSCA,NAG,40,0.08518
TSCA,NAG,80,0.18137
TSCA,NAG,140,0.19421
TSCA,NAG,200,0.22108
TSCA,NAG,400,0.31486
TSCA,NAG,600,0.26453
TSCA,NAG,800,0.23533
TSCA,NAG,5,0.0067898
TSCA,NAG,20,0.01578
TSCA,NAG,40,0.019241
TSCA,NAG,80,0.027683
TSCA,NAG,140,0.022667
TSCA,NAG,200,0.045894
TSCA,NAG,400,0.041851
TSCA,NAG,600,0.047445
TSCA,NAG,800,0.060246
TSCA,NAG,5,-0.047556
TSCA,NAG,20,-0.010302
TSCA,NAG,40,-0.024164
TSCA,NAG,80,0.0087516
TSCA,NAG,140,0.027678
TSCA,NAG,200,-0.0018528
TSCA,NAG,400,0.016358
TSCA,NAG,600,0.073643
TSCA,NAG,800,-0.017342
TSCA,NAG,5,-0.052852
TSCA,NAG,20,-0.029057
TSCA,NAG,40,-0.039676
TSCA,NAG,80,-0.041546
TSCA,NAG,140,0.00057934
TSCA,NAG,200,-0.0099905
TSCA,NAG,400,0.045541
TSCA,NAG,600,-0.007293
TSCA,NAG,800,0.026762
TSCA,NAG,5,0.0019154
TSCA,NAG,20,0.0337
TSCA,NAG,40,0.051522
TSCA,NAG,80,0.075757
TSCA,NAG,140,0.08485
TSCA,NAG,200,0.16595
TSCA,NAG,400,0.12601
TSCA,NAG,600,0.11075
TSCA,NAG,800,0.1669
TSCA,NAG,5,-0.0016524
TSCA,NAG,20,0.042934
TSCA,NAG,40,0.037434
TSCA,NAG,80,0.11473
TSCA,NAG,140,0.11795
TSCA,NAG,200,0.20063
TSCA,NAG,400,0.17487
TSCA,NAG,600,0.30596
TSCA,NAG,800,0.12861
FRAM,NAG,5,0.020736
FRAM,NAG,20,0.059712
FRAM,NAG,40,0.093498
FRAM,NAG,80,0.14292
FRAM,NAG,140,0.2051
FRAM,NAG,200,0.26365
FRAM,NAG,400,0.24366
FRAM,NAG,600,0.29651
FRAM,NAG,800,0.3069
FRAM,NAG,5,0.023294
FRAM,NAG,20,0.052687
FRAM,NAG,40,0.063751
FRAM,NAG,80,0.099159
FRAM,NAG,140,0.20677
FRAM,NAG,200,0.28026
FRAM,NAG,400,0.24366
FRAM,NAG,600,0.28644
FRAM,NAG,800,0.27047
FRAM,NAG,5,0.014493
FRAM,NAG,20,0.024056
FRAM,NAG,40,0.043323
FRAM,NAG,80,0.081578
FRAM,NAG,140,0.12432
FRAM,NAG,200,0.12531
FRAM,NAG,400,0.13866
FRAM,NAG,600,0.16643
FRAM,NAG,800,0.20123
FRAM,NAG,5,-0.0067674
FRAM,NAG,20,0.040475
FRAM,NAG,40,0.012598
FRAM,NAG,80,0.022022
FRAM,NAG,140,0.049801
FRAM,NAG,200,0.076621
FRAM,NAG,400,0.080111
FRAM,NAG,600,0.26666
FRAM,NAG,800,0.14329
FRAM,NAG,5,0.031873
FRAM,NAG,20,0.075153
FRAM,NAG,40,0.10792
FRAM,NAG,80,0.20004
FRAM,NAG,140,0.21899
FRAM,NAG,200,0.25951
FRAM,NAG,400,0.27416
FRAM,NAG,600,0.28493
FRAM,NAG,800,0.29744
FRAM,NAG,5,0.022253
FRAM,NAG,20,0.075639
FRAM,NAG,40,0.08994
FRAM,NAG,80,0.16849
FRAM,NAG,140,0.25488
FRAM,NAG,200,0.31112
FRAM,NAG,400,0.35706
FRAM,NAG,600,0.34635
FRAM,NAG,800,0.37032
QURU,NAG,5,0.033934
QURU,NAG,20,0.040912
QURU,NAG,40,0.047781
QURU,NAG,80,0.060177
QURU,NAG,140,0.087326
QURU,NAG,200,0.13263
QURU,NAG,400,0.13391
QURU,NAG,600,0.10352
QURU,NAG,800,0.12474
QURU,NAG,5,0.038584
QURU,NAG,20,0.038826
QURU,NAG,40,0.059382
QURU,NAG,80,0.071325
QURU,NAG,140,0.11329
QURU,NAG,200,0.10687
QURU,NAG,400,0.11573
QURU,NAG,600,0.14932
QURU,NAG,800,0.11362
QURU,NAG,5,0.046118
QURU,NAG,20,0.1543
